Customer_ID,Age_Group,Gender,City_Tier,Income_Level,Connection_Type,Booking_Method,Booking_Frequency,Digital_Preference,Delivery_Days,Complaint,Overall_Satisfaction
1,36-50,Prefer not to say,Tier 2,<20k,Domestic,Agent,2-3 months,1,2,1,5
2,50+,Female,Tier 3,<20k,Domestic,Agent,2-3 months,0,2,1,3
3,18-25,Prefer not to say,Tier 2,1L+,Domestic,Mobile App,2-3 months,1,3,0,4
4,36-50,Prefer not to say,Tier 2,20k-50k,Commercial,Mobile App,3-6 months,0,3,0,2
5,36-50,Male,Tier 1,20k-50k,Domestic,Website,2-3 months,1,3,0,2
6,50+,Male,Tier 1,<20k,Domestic,Agent,Monthly,0,3,1,4
7,18-25,Prefer not to say,Tier 1,<20k,Domestic,Mobile App,3-6 months,1,1,0,5
8,18-25,Male,Tier 1,50k-1L,Domestic,Agent,3-6 months,0,5,1,2
9,36-50,Female,Tier 2,<20k,Domestic,Agent,2-3 months,1,2,1,5
10,26-35,Female,Tier 2,20k-50k,Domestic,Mobile App,Monthly,1,2,0,4
11,36-50,Male,Tier 2,<20k,Commercial,Agent,Monthly,0,5,1,1
12,36-50,Female,Tier 3,20k-50k,Commercial,Mobile App,3-6 months,0,3,0,2
13,36-50,Male,Tier 3,<20k,Domestic,Call,Monthly,1,4,1,1
14,36-50,Prefer not to say,Tier 3,50k-1L,Domestic,Website,2-3 months,1,6,1,1
15,50+,Prefer not to say,Tier 2,50k-1L,Domestic,Agent,2-3 months,0,2,1,4
16,18-25,Female,Tier 2,50k-1L,Commercial,Mobile App,2-3 months,0,1,0,5
17,50+,Male,Tier 2,20k-50k,Domestic,Mobile App,2-3 months,0,1,0,4
18,50+,Male,Tier 1,50k-1L,Domestic,Call,2-3 months,0,4,1,2
19,50+,Female,Tier 2,20k-50k,Domestic,Agent,3-6 months,1,4,1,1
20,36-50,Prefer not to say,Tier 3,20k-50k,Domestic,Call,2-3 months,1,4,1,2
21,26-35,Female,Tier 3,20k-50k,Domestic,Website,2-3 months,1,5,1,2
22,18-25,Prefer not to say,Tier 1,<20k,Domestic,Agent,3-6 months,1,3,1,3
23,26-35,Male,Tier 2,<20k,Domestic,Mobile App,3-6 months,1,2,0,5
24,50+,Prefer not to say,Tier 3,50k-1L,Commercial,Mobile App,3-6 months,1,3,0,2
25,50+,Female,Tier 1,<20k,Domestic,Mobile App,Monthly,1,3,0,4
26,26-35,Male,Tier 2,20k-50k,Domestic,Call,Monthly,1,2,1,4
27,26-35,Female,Tier 3,20k-50k,Domestic,Call,2-3 months,1,2,1,3
28,26-35,Female,Tier 2,50k-1L,Domestic,Call,2-3 months,0,4,1,1
29,50+,Prefer not to say,Tier 1,1L+,Domestic,Mobile App,2-3 months,0,1,0,5
30,50+,Female,Tier 2,50k-1L,Domestic,Mobile App,Monthly,0,3,0,4
31,18-25,Prefer not to say,Tier 3,20k-50k,Domestic,Mobile App,2-3 months,0,1,0,5
32,18-25,Male,Tier 2,<20k,Commercial,Call,2-3 months,1,4,1,3
33,50+,Prefer not to say,Tier 1,20k-50k,Domestic,Mobile App,Monthly,1,3,0,4
34,26-35,Male,Tier 2,<20k,Domestic,Mobile App,3-6 months,1,3,0,2
35,26-35,Prefer not to say,Tier 2,<20k,Domestic,Mobile App,Monthly,0,1,0,5
36,18-25,Female,Tier 2,20k-50k,Domestic,Call,2-3 months,1,4,1,1
37,50+,Prefer not to say,Tier 2,20k-50k,Domestic,Mobile App,Monthly,0,3,0,3
38,18-25,Prefer not to say,Tier 1,1L+,Commercial,Agent,3-6 months,1,6,1,1
39,18-25,Male,Tier 3,<20k,Domestic,Call,3-6 months,1,2,1,3
40,36-50,Female,Tier 1,20k-50k,Domestic,Call,3-6 months,0,3,1,2
41,36-50,Prefer not to say,Tier 2,<20k,Commercial,Agent,3-6 months,1,2,1,5
42,36-50,Female,Tier 1,1L+,Domestic,Mobile App,3-6 months,1,2,0,3
43,26-35,Prefer not to say,Tier 2,50k-1L,Domestic,Mobile App,3-6 months,0,3,0,3
44,50+,Prefer not to say,Tier 2,50k-1L,Domestic,Website,2-3 months,0,5,1,1
45,50+,Female,Tier 2,1L+,Domestic,Agent,2-3 months,1,4,1,1
46,50+,Prefer not to say,Tier 1,20k-50k,Domestic,Website,Monthly,0,5,1,1
47,50+,Female,Tier 2,20k-50k,Domestic,Agent,2-3 months,1,6,1,1
48,36-50,Prefer not to say,Tier 1,20k-50k,Domestic,Mobile App,3-6 months,1,3,0,2
49,26-35,Male,Tier 2,20k-50k,Domestic,Mobile App,2-3 months,0,2,0,5
50,26-35,Female,Tier 3,20k-50k,Domestic,Call,Monthly,0,5,1,2
51,36-50,Prefer not to say,Tier 2,20k-50k,Domestic,Mobile App,3-6 months,1,2,0,3
52,26-35,Prefer not to say,Tier 2,1L+,Domestic,Mobile App,2-3 months,1,3,0,4
53,36-50,Male,Tier 2,1L+,Commercial,Agent,2-3 months,1,4,1,1
54,50+,Female,Tier 1,50k-1L,Domestic,Mobile App,Monthly,1,1,0,5
55,36-50,Prefer not to say,Tier 2,50k-1L,Domestic,Mobile App,3-6 months,1,1,0,5
56,50+,Male,Tier 2,50k-1L,Domestic,Agent,Monthly,0,2,1,5
57,50+,Prefer not to say,Tier 2,<20k,Domestic,Agent,3-6 months,1,3,1,3
58,18-25,Female,Tier 1,<20k,Commercial,Mobile App,3-6 months,1,2,0,3
59,36-50,Prefer not to say,Tier 3,50k-1L,Domestic,Agent,2-3 months,1,4,1,3
60,18-25,Prefer not to say,Tier 2,50k-1L,Domestic,Agent,Monthly,1,6,1,1
61,36-50,Prefer not to say,Tier 3,<20k,Domestic,Mobile App,Monthly,1,2,0,5
62,36-50,Prefer not to say,Tier 2,1L+,Domestic,Mobile App,Monthly,1,3,0,4
63,18-25,Male,Tier 2,<20k,Domestic,Mobile App,3-6 months,1,2,0,5
64,18-25,Male,Tier 1,20k-50k,Domestic,Call,Monthly,1,3,1,4
65,36-50,Female,Tier 1,50k-1L,Domestic,Mobile App,3-6 months,0,1,0,5
66,26-35,Male,Tier 3,<20k,Domestic,Website,Monthly,0,2,0,4
67,50+,Male,Tier 1,<20k,Domestic,Agent,Monthly,1,3,1,3
68,18-25,Female,Tier 3,20k-50k,Domestic,Agent,2-3 months,0,2,1,5
69,50+,Male,Tier 2,50k-1L,Domestic,Website,Monthly,1,2,0,4
70,26-35,Male,Tier 1,20k-50k,Commercial,Agent,2-3 months,1,2,1,5
71,26-35,Female,Tier 1,50k-1L,Domestic,Mobile App,2-3 months,0,3,0,3
72,26-35,Female,Tier 1,20k-50k,Domestic,Mobile App,3-6 months,1,1,0,5
73,18-25,Female,Tier 3,<20k,Domestic,Agent,Monthly,1,5,1,1
74,26-35,Prefer not to say,Tier 2,1L+,Domestic,Mobile App,Monthly,1,2,0,4
75,18-25,Prefer not to say,Tier 2,<20k,Commercial,Mobile App,Monthly,1,2,0,4
76,26-35,Female,Tier 2,1L+,Domestic,Call,2-3 months,1,3,1,4
77,50+,Female,Tier 1,20k-50k,Domestic,Website,Monthly,1,5,1,2
78,50+,Female,Tier 2,1L+,Domestic,Mobile App,3-6 months,0,1,0,5
79,36-50,Prefer not to say,Tier 1,<20k,Domestic,Agent,3-6 months,1,3,1,4
80,50+,Prefer not to say,Tier 3,20k-50k,Domestic,Mobile App,Monthly,1,2,0,3
81,36-50,Male,Tier 2,<20k,Domestic,Call,2-3 months,0,6,1,1
82,50+,Male,Tier 2,<20k,Domestic,Mobile App,3-6 months,1,2,0,4
83,18-25,Female,Tier 2,20k-50k,Domestic,Agent,3-6 months,1,2,1,3
84,50+,Prefer not to say,Tier 2,<20k,Domestic,Mobile App,2-3 months,1,1,0,5
85,36-50,Prefer not to say,Tier 3,20k-50k,Domestic,Agent,3-6 months,1,5,1,2
86,36-50,Prefer not to say,Tier 2,<20k,Domestic,Mobile App,2-3 months,1,2,0,5
87,26-35,Female,Tier 1,20k-50k,Domestic,Mobile App,3-6 months,1,1,0,5
88,18-25,Male,Tier 2,50k-1L,Domestic,Mobile App,2-3 months,1,2,0,4
89,50+,Female,Tier 1,20k-50k,Domestic,Mobile App,3-6 months,1,3,0,3
90,26-35,Male,Tier 1,20k-50k,Domestic,Mobile App,Monthly,1,3,0,3
91,50+,Male,Tier 3,20k-50k,Domestic,Mobile App,3-6 months,1,3,0,3
92,50+,Female,Tier 2,50k-1L,Commercial,Agent,3-6 months,1,4,1,3
93,26-35,Male,Tier 3,20k-50k,Commercial,Call,Monthly,0,3,1,2
94,26-35,Male,Tier 2,50k-1L,Domestic,Mobile App,Monthly,0,3,0,4
95,26-35,Prefer not to say,Tier 2,1L+,Domestic,Agent,Monthly,1,6,1,1
96,26-35,Male,Tier 1,50k-1L,Domestic,Mobile App,Monthly,0,3,0,3
97,26-35,Female,Tier 1,20k-50k,Domestic,Call,2-3 months,0,5,1,1
98,50+,Female,Tier 3,20k-50k,Domestic,Mobile App,2-3 months,0,3,0,2
99,26-35,Male,Tier 2,50k-1L,Domestic,Call,3-6 months,1,4,1,3
100,18-25,Prefer not to say,Tier 3,20k-50k,Commercial,Mobile App,3-6 months,0,1,0,4
101,36-50,Prefer not to say,Tier 2,<20k,Domestic,Website,3-6 months,1,2,0,5
102,26-35,Male,Tier 1,<20k,Domestic,Mobile App,2-3 months,1,3,0,4
103,26-35,Male,Tier 2,50k-1L,Domestic,Mobile App,3-6 months,1,3,0,4
104,50+,Female,Tier 2,20k-50k,Domestic,Mobile App,3-6 months,1,2,0,5
105,26-35,Male,Tier 1,50k-1L,Domestic,Agent,2-3 months,0,3,1,3
106,26-35,Prefer not to say,Tier 3,20k-50k,Domestic,Call,3-6 months,1,4,1,1
107,26-35,Male,Tier 2,20k-50k,Domestic,Agent,2-3 months,1,6,1,1
108,50+,Female,Tier 1,<20k,Domestic,Website,2-3 months,1,3,0,3
109,26-35,Female,Tier 2,<20k,Domestic,Website,Monthly,0,5,1,1
110,36-50,Female,Tier 3,1L+,Domestic,Agent,Monthly,1,5,1,2
